trip_id,taxi_id,pickup_time,dropoff_time,seconds,miles,pickup_census,dropoff_census,pickup_area,dropoff_area,fare,tips,tolls,extras,total,payment,company,pickup_latitude,pickup_longitude,pickup_centroid,dropoff_latitude,dropoff_longitude,dropoff_centroid,pickup_region,dropoff_region,AbsDistance,RRSL,AbsVelocity,AclVelocity,RRVV,AbsTime,RRST,pickup_hr,weekday
1169477,2897,2013-04-25 11:00:00,2013-04-25 11:15:00,480.0,3.8,17031063200,17031081500,6.0,8.0,10.45,0.0,0.0,0.0,10.45,Cash,,41.938391258,-87.63857492,"(41.938391, -87.638575)",41.892507781,-87.626214906,"(41.892508, -87.626215)",North Side,Central,3.230156140449964,1.1764137195766196,24.22617105337473,28.5,1.1764137195766196,480.0,1.0,3,4
1188927,991,2013-08-01 19:15:00,2013-08-01 19:30:00,420.0,1.0,0,0,,,6.25,0.0,0.0,0.0,6.25,Cash,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,8.571428571428571,inf,,,6,4
1219410,554,2013-01-27 15:45:00,2013-01-27 15:45:00,240.0,0.7,17031081500,17031081000,8.0,8.0,5.25,0.0,0.0,1.0,6.25,Cash,,41.892507781,-87.626214906,"(41.892508, -87.626215)",41.900265687,-87.63210922,"(41.900266, -87.632109)",Central,Central,0.6156730412533288,1.1369671125683956,9.235095618799932,10.5,1.1369671125683958,240.0,1.0,4,7
1239031,2257,2013-02-26 23:15:00,2013-02-26 23:45:00,1680.0,0.0,0,0,,,26.65,3.35,0.0,0.0,30.0,Credit Card,Chicago Elite Cab Corp.,,,"(0, 0)",,,"(0, 0)",None,None,0.0,,0.0,0.0,,,,7,2
1270813,612,2013-10-05 20:30:00,2013-10-05 21:15:00,2820.0,12.0,0,0,76.0,4.0,29.25,0.0,0.0,2.0,31.25,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,"(41.980264, -87.913625)",41.975170943,-87.687515515,"(41.975171, -87.687516)",Far North Side,Far North Side,11.649695621379767,1.0300698310072023,14.871951857080553,15.319148936170214,1.0300698310072023,2820.0,1.0,6,6
1287681,93,2013-10-20 10:00:00,2013-10-20 10:30:00,1440.0,0.0,17031081201,17031980000,8.0,76.0,35.65,6.0,0.0,3.0,44.65,Credit Card,Taxi Affiliation Services,41.899155613000005,-87.626210532,"(41.899156, -87.626211)",41.97907082,-87.90303966100002,"(41.979071, -87.90304)",Central,Far North Side,15.294166716976658,0.0,38.23541679244164,0.0,0.0,1440.0000000000002,1.0000000000000002,3,7
1293089,1548,2013-03-15 01:00:00,2013-03-15 01:15:00,1380.0,0.0,0,0,8.0,,25.85,5.65,0.0,2.5,34.0,Credit Card,Blue Ribbon Taxi Association Inc.,41.899602111,-87.633308037,"(41.899602, -87.633308)",,,"(0, 0)",Central,None,6098.709200129116,0.0,15909.676174249866,0.0,0.0,1380.0,1.0,0,5
1312678,2187,2013-09-14 20:15:00,2013-09-14 20:15:00,480.0,1.6,17031081100,17031071500,8.0,7.0,7.45,1.0,0.0,0.0,8.45,Credit Card,,41.900221297,-87.629105186,"(41.900221, -87.629105)",41.914616286,-87.631717366,"(41.914616, -87.631717)",Central,North Side,1.0025792096308053,1.5958838809246723,7.519344072231039,12.0,1.5958838809246723,480.0,1.0,6,6
1378527,3016,2013-11-14 20:15:00,2013-11-14 20:30:00,600.0,0.0,17031081700,17031330200,8.0,33.0,7.85,0.0,0.0,0.0,7.85,Cash,Blue Ribbon Taxi Association Inc.,41.892042136,-87.63186395,"(41.892042, -87.631864)",41.861280846999996,-87.630580061,"(41.861281, -87.63058)",Central,Central,2.124041679898519,0.0,12.744250079391113,0.0,0.0,600.0,1.0,6,4
1387026,2689,2013-03-24 15:00:00,2013-03-24 15:30:00,1680.0,0.0,17031081300,17031980100,8.0,56.0,30.25,0.0,0.0,2.0,32.25,Cash,Taxi Affiliation Services,41.898331794,-87.620762865,"(41.898332, -87.620763)",41.785998518,-87.750934289,"(41.785999, -87.750934)",Central,Southwest Side,10.258413447058784,0.0,21.982314529411678,0.0,0.0,1680.0000000000002,1.0000000000000002,4,7
